tree_tip,matched_MDD_name,match_type,order,family,genus,iucn_category,extinct_flag
Mogera_imaizumii,Mogera_imaizumii,direct,Eulipotyphla,Talpidae,Mogera,LC,0.0
Mogera_tokudae,Mogera_tokudae,direct,Eulipotyphla,Talpidae,Mogera,NT,0.0
Mogera_etigo,Mogera_etigo,direct,Eulipotyphla,Talpidae,Mogera,EN,0.0
Mogera_insularis,Mogera_insularis,direct,Eulipotyphla,Talpidae,Mogera,LC,0.0
Mogera_kanoana,Mogera_kanoana,direct,Eulipotyphla,Talpidae,Mogera,NE,0.0
Scaptochirus_moschatus,Scaptochirus_moschatus,direct,Eulipotyphla,Talpidae,Scaptochirus,LC,0.0
Euroscaptor_klossi,Euroscaptor_klossi,direct,Eulipotyphla,Talpidae,Euroscaptor,LC,0.0
Euroscaptor_longirostris,Euroscaptor_longirostris,direct,Eulipotyphla,Talpidae,Euroscaptor,LC,0.0
Parascaptor_leucura,Parascaptor_leucura,direct,Eulipotyphla,Talpidae,Parascaptor,LC,0.0
Euroscaptor_parvidens,Euroscaptor_parvidens,direct,Eulipotyphla,Talpidae,Euroscaptor,DD,0.0
Talpa_caeca,Talpa_caeca,direct,Eulipotyphla,Talpidae,Talpa,LC,0.0
Talpa_romana,Talpa_romana,direct,Eulipotyphla,Talpidae,Talpa,LC,0.0
Talpa_occidentalis,Talpa_occidentalis,direct,Eulipotyphla,Talpidae,Talpa,LC,0.0
Talpa_europaea,Talpa_europaea,direct,Eulipotyphla,Talpidae,Talpa,LC,0.0
Talpa_levantis,Talpa_levantis,direct,Eulipotyphla,Talpidae,Talpa,LC,0.0
Talpa_davidiana,Talpa_davidiana,direct,Eulipotyphla,Talpidae,Talpa,DD,0.0
Talpa_stankovici,Talpa_stankovici,direct,Eulipotyphla,Talpidae,Talpa,LC,0.0
Talpa_caucasica,Talpa_caucasica,direct,Eulipotyphla,Talpidae,Talpa,LC,0.0
Talpa_altaica,Talpa_altaica,direct,Eulipotyphla,Talpidae,Talpa,LC,0.0
Urotrichus_talpoides,Urotrichus_talpoides,direct,Eulipotyphla,Talpidae,Urotrichus,LC,0.0
Dymecodon_pilirostris,Dymecodon_pilirostris,direct,Eulipotyphla,Talpidae,Dymecodon,LC,0.0
