tree,PD,ePDloss
681,129440.406569476,14057.9646757811
682,131635.973983491,14342.5467663943
683,121927.245904938,13182.5820367257
684,122842.430029851,12797.2191002991
685,125271.88305281,13741.3392652107
686,129447.582633859,14218.9712467138
687,127531.136167513,14336.1171173047
688,130915.247874856,14706.0115959727
689,127329.903477486,14024.3323864129
690,126441.689625201,13841.3099486381
691,127252.577173623,13978.7285859574
692,129717.076940999,14162.7824560138
693,122755.7355527,13423.201482741
694,128509.160731559,13504.1869807766
695,132441.755992732,14530.4243837354
696,125159.584899709,13478.7615845847
697,130550.072715862,14245.0686336881
698,125488.153994886,13492.5949465244
699,124769.151985952,13644.1226538258
700,124897.311106444,13940.0265720453
701,124829.294430521,13581.8858921592
702,125217.815491258,13811.3844179504
703,128087.942138571,13921.0474878445
704,128014.208543174,14130.6568116586
705,129895.673726848,14085.4453509256
706,132297.489416628,14584.4582905118
707,129170.792031173,14120.9149687552
708,126938.741268731,13524.0186977892
709,128156.53840091,13658.7462246758
710,124357.11430309,13356.872178424
711,124426.23291977,13811.895544793
712,125420.996736429,13583.1728296847
713,123401.394498651,13706.5678846915
714,124469.928713422,13138.1372907144
715,123612.676061024,13444.7587008009
716,125778.539784185,13583.6709552769
717,121422.032508353,12692.4657450603
718,120495.535170063,12960.1265714028
719,121631.800634687,13174.0972492061
720,122411.067792585,13339.8453321241
721,121982.539851613,13137.6039358667
722,129194.493383346,13911.9198144515
723,120159.475660802,12968.2817301416
724,119467.182897863,12835.9137227764
725,117418.318426965,12878.6840325099
726,118400.978794452,12782.0532247625
727,120450.997007448,13484.4179209292
728,123070.236581994,13149.2006961868
729,119577.410355337,12672.1327035219
730,117100.494679749,12572.538798272
731,133557.812945258,14584.7933294285
732,122415.730609926,13168.6548194619
733,118050.470064117,12840.4984718556
734,118318.742822543,12882.6022602432
735,118075.612216599,12535.2029109283
736,116349.792975131,12718.8414181066
737,115205.942754238,12639.2116269576
738,118617.773303698,13127.0565541463
739,128292.367041929,13984.8596527609
740,119311.109642762,12710.2659856119
741,115300.743980894,12241.8070843913
742,117669.421933384,12566.9911070275
743,119072.065421412,12882.634557407
744,117810.607599222,12422.1417769337
745,119062.720886971,13130.5396060119
746,117991.072506022,12626.8808897606
747,124207.796096846,13475.5132068169
748,118635.016795763,12503.6618135004
749,121605.951477271,12882.1517109136
750,119784.269262772,12817.0869252028
751,121105.017295464,13031.2364089152
752,123272.756959905,13501.4731269433
753,124058.568487173,13368.4084782616
754,122285.589804825,12872.6889304016
755,122445.486169141,13294.0010283624
756,120543.155350072,12882.0743027815
757,119346.283853315,13103.5532748788
758,121207.486537333,13065.1705933696
759,119557.303616566,12920.1952296961
760,120303.111808239,12667.7486268373
761,123432.499786503,13583.2234088312
762,125800.703618751,13542.1707512834
763,129842.996261631,14044.6241515796
764,128188.48300227,13822.948514253
765,130611.078413378,13965.9761059889
766,124143.176304811,13338.7415744046
767,135123.238937682,14693.1368174681
768,128785.003984142,13787.3216878948
769,134737.205842824,14599.4395620891
770,130403.087089014,14164.6336555594
771,130857.447660278,13961.1056015561
772,129506.834831262,14046.4135148781
773,129493.469898756,14187.7678882403
774,134350.03627696,14655.8282345553
775,128520.01119993,14234.4575151231
776,135852.211651111,14850.1426037963
777,127544.54285854,13717.0276227176
778,126852.817850917,13624.2241692696
779,126047.885113031,13712.6866436531
780,124104.689160504,13417.3141752004
781,131210.552521362,14293.4307526815
782,126300.3015396,13843.8594685699
783,131444.764140244,14317.2364373621
784,126810.521213846,14089.140245905
785,130474.739729091,14322.5037962992
786,131372.675984018,14434.3454744518
787,127398.35576126,14413.1956961094
788,129370.939399277,14052.6583287363
789,125181.479627195,13945.3414467725
790,126346.247242693,13863.2042130682
791,126658.678522565,13767.9294049198
792,128671.099572105,14092.1636316217
793,126705.224851231,13830.1703756868
794,131368.577204718,14296.3956410305
795,130083.237547838,14278.8316115724
796,131757.619939516,14145.4862070889
797,129890.516243013,13843.5778285762
798,127080.930082679,14028.8925297108
799,125035.978541498,13770.9593770544
800,125513.281073072,13507.1762466005
801,125283.672555964,13454.7034976814
802,128307.770347864,14055.5722290645
803,126784.969890252,13581.2329903925
804,124303.169062539,13374.8221335107
805,126991.704814287,13671.1902219875
806,121173.65735617,13016.072290823
807,120277.697914304,13424.8770801222
808,123843.478106995,12933.6390883641
809,125562.307182734,13969.3535574436
810,125770.689366557,13290.1920401048
811,123626.195225611,13169.7597113466
812,126970.555893312,13699.9940906324
813,123555.491917595,13546.4816238384
814,124804.783425454,13417.6838214573
815,123750.14842023,13332.3719418527
816,124198.350909274,13276.766955272
817,124343.369198116,13227.9894293974
818,123590.508679099,13409.9421737786
819,122736.796923259,13062.6976340397
820,122127.618550017,13295.7810785995
821,119802.253213068,13180.8644006264
822,120872.975591153,12810.6958044999
823,122150.981895051,13129.1073336652
824,124086.155803704,13302.9602198939
825,122555.196482224,13024.9706049264
826,125318.512962208,13384.7438057914
827,127737.297928353,13812.762712724
828,125963.380280105,13414.5469136042
829,125646.474919811,13817.3403893504
830,123385.832622429,13272.0366487284
831,126640.976378822,13622.6976494704
832,125747.452715116,13995.2953199932
833,125603.650267911,13914.61593651
834,124063.930109864,13636.7438287302
835,122340.137750044,13295.1367797443
836,125703.475870677,13944.7665604705
837,122514.916522105,13030.7608774184
838,123780.765010117,13615.6919496145
839,126558.326864471,14050.1680102052
840,127371.667702632,14482.9011638267
841,125667.544414555,13866.3009584042
842,125327.301159697,13810.4299741419
843,127367.802810149,13993.1783445792
844,123287.763503585,13463.1948564544
845,124759.543912881,13689.5287515822
846,127260.841695295,14229.1735697055
847,125476.546542237,13446.2822013722
848,123132.698385798,13548.1728983174
849,126392.811309703,13619.7877203577
850,126690.885444595,14246.6834468302
851,126676.669009406,13739.466895515
852,128594.024680451,14024.3798155236
853,128253.410783519,13937.0407336215
854,125436.462736308,13799.7566371075
855,126364.840292994,13708.605618111
856,127513.057121288,13786.9635777081
857,123748.839685274,13278.3595694284
858,124240.026488302,13102.8637466929
859,124804.980699781,13568.181385432
860,123961.104960058,13459.3976821976
861,122445.586400844,13211.5079195442
862,122925.471452843,13634.1552492661
863,125183.743246677,13831.5520878974
864,122886.906711167,13176.6814111936
