clade,species,RLcat,match,matched_IUCN_name,order,family
mammals,Crocidura_jouvenetae,LC,direct,Crocidura_jouvenetae,Eulipotyphla,Soricidae
mammals,Crocidura_cinderella,LC,direct,Crocidura_cinderella,Eulipotyphla,Soricidae
mammals,Crocidura_lanosa,VU,direct,Crocidura_lanosa,Eulipotyphla,Soricidae
mammals,Crocidura_fuscomurina,LC,direct,Crocidura_fuscomurina,Eulipotyphla,Soricidae
mammals,Paracrocidura_graueri,DD,direct,Paracrocidura_graueri,Eulipotyphla,Soricidae
mammals,Paracrocidura_schoutedeni,LC,direct,Paracrocidura_schoutedeni,Eulipotyphla,Soricidae
mammals,Paracrocidura_maxima,LC,direct,Paracrocidura_maxima,Eulipotyphla,Soricidae
mammals,Crocidura_grandis,DD,direct,Crocidura_grandis,Eulipotyphla,Soricidae
mammals,Crocidura_lamottei,LC,direct,Crocidura_lamottei,Eulipotyphla,Soricidae
mammals,Crocidura_parvipes,LC,direct,Crocidura_parvipes,Eulipotyphla,Soricidae
mammals,Crocidura_katinka,DD,direct,Crocidura_katinka,Eulipotyphla,Soricidae
mammals,Crocidura_vorax,LC,direct,Crocidura_vorax,Eulipotyphla,Soricidae
mammals,Crocidura_macarthuri,LC,direct,Crocidura_macarthuri,Eulipotyphla,Soricidae
mammals,Crocidura_harenna,CR,direct,Crocidura_harenna,Eulipotyphla,Soricidae
